event-id,visible,timestamp,location-long,location-lat,comment,day
1,TRUE,6/18/03 22:12:00,-70.8805556,42.5583333,1-Jan,beverly
2,TRUE,6/18/03 22:25:00,-71.1569444,42.4152778,1-Jan,arlington
3,TRUE,6/18/03 22:35:00,-70.8805556,42.5583333,1-Jan,beverly
4,TRUE,6/18/03 22:47:00,-72.6855556,41.7636111,3-Jan,CT
5,TRUE,6/18/03 23:27:00,-71.0602778,42.3583333,6-Jan,Boston
6,TRUE,6/18/03 23:49:00,41.5264977,-70.6730857,7-Jan,woods Hole 
7,TRUE,6/19/03 0:11:00,-70.8805556,42.5583333,8-Jan,Beverly
8,TRUE,6/19/03 0:23:00,41.5264977,-70.6730857,12-Jan,Woods Hole 
9,TRUE,6/19/03 0:35:00,-70.8805556,42.5583333,13-Jan,Beverly
10,TRUE,6/19/03 0:48:00,-71.0602778,42.3583333,14-Jan,Boston
11,TRUE,6/19/03 1:00:00,-70.8805556,42.5583333,15-Jan,Beverly
12,TRUE,6/19/03 1:52:00,42.375,-71.1061111,17-Jan,MIT
13,,,-70.8805556,42.5583333,17-Jan,Beverly
14,,,-71.022362,42.366978,19-Jan,BOS
15,,,-22.605555,63.985,19-Jan,KEF
,,,12.6508,55.618,20-Jan,CPH
,,,10.619,56.3,20-Jan,AAR
,,,10.2167,56.15,20-Jan,Aarhus